RegionID,SizeRank,RegionName,RegionType,StateName,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31
394820,131,"Manchester, NH",msa,NH,262361.0,264106.0,267554.0,273272.0,270011.0,268171.0,267667.0,269878.0,272525.0,274062.0,276557.0,276669.0,278210.0,277221.0,279614.0,282394.0,283717.0,285067.0,285564.0,292163.0,303330.0,307669.0,308490.0,304765.0,309808.0,313575.0,318587.0,324451.0,329290.0,332376.0,335027.0,335705.0,344361.0,351864.0,362275.0,368241.0,370569.0,379233.0,379984.0,383381.0,376315.0,376816.0,369713.0,381578.0,389092.0,406719.0,408214.0,414465.0,413886.0,420540.0,416369.0,416284.0,415345.0,407812.0,411386.0,409974.0,414277.0,419143.0,424956.0,441482.0,444552.0
394612,132,"Fort Wayne, IN",msa,IN,142707.0,143826.0,146774.0,147402.0,144852.0,141439.0,144652.0,148175.0,153101.0,151798.0,152313.0,152530.0,154131.0,156849.0,155560.0,156493.0,155115.0,156210.0,156019.0,156737.0,157046.0,159141.0,161670.0,163370.0,163380.0,164787.0,170311.0,172183.0,172090.0,172687.0,173833.0,175038.0,173558.0,175975.0,178941.0,183241.0,186357.0,188935.0,189828.0,190824.0,190710.0,190894.0,193826.0,196731.0,201832.0,203900.0,208311.0,210199.0,211883.0,209837.0,209421.0,212783.0,212057.0,209527.0,202897.0,208171.0,215924.0,220170.0,220260.0,222692.0,227458.0
394658,133,"Gulfport, MS",msa,MS,144393.0,142276.0,142372.0,142777.0,140428.0,141072.0,139898.0,143089.0,144734.0,143901.0,144653.0,148062.0,150781.0,152327.0,152240.0,155177.0,157184.0,158925.0,160998.0,163666.0,162841.0,160369.0,158503.0,160801.0,161797.0,163991.0,167883.0,173873.0,179895.0,181217.0,177702.0,178058.0,176567.0,181249.0,177993.0,181968.0,181739.0,185038.0,187961.0,188487.0,189604.0,189156.0,191395.0,195107.0,199874.0,208462.0,213368.0,214202.0,210683.0,207212.0,204426.0,206078.0,205171.0,206146.0,203497.0,204600.0,211147.0,218477.0,224856.0,221579.0,215849.0
395051,134,"Salisbury, MD",msa,DE,236816.0,234209.0,240420.0,242525.0,236921.0,236833.0,240461.0,248050.0,247394.0,248293.0,243465.0,245378.0,248024.0,252827.0,254813.0,256566.0,259568.0,263695.0,259498.0,259066.0,260431.0,261603.0,267711.0,274908.0,288625.0,294821.0,294627.0,297417.0,299920.0,298656.0,301530.0,300782.0,311417.0,310883.0,314931.0,317421.0,319605.0,326345.0,326594.0,332131.0,335763.0,341342.0,347010.0,345995.0,353086.0,361099.0,369630.0,366527.0,357784.0,357746.0,354157.0,353355.0,342965.0,346499.0,348024.0,361289.0,362339.0,363777.0,365377.0,365614.0,378847.0
394596,135,"Flint, MI",msa,MI,140943.0,139845.0,138705.0,137224.0,138035.0,139647.0,144136.0,143753.0,141414.0,140269.0,141918.0,144432.0,143756.0,142623.0,142137.0,142862.0,143665.0,141967.0,145350.0,148887.0,154979.0,151776.0,152151.0,150291.0,153347.0,155026.0,158790.0,162568.0,161821.0,161919.0,159525.0,164584.0,165108.0,171493.0,167746.0,169082.0,166634.0,174389.0,177795.0,178415.0,176551.0,174505.0,174430.0,176375.0,181392.0,185348.0,183471.0,180722.0,182777.0,183793.0,182437.0,178485.0,179028.0,178034.0,179285.0,177708.0,183710.0,190258.0,193436.0,193237.0,190618.0
394972,136,"Peoria, IL",msa,IL,116755.0,119927.0,115814.0,115720.0,117478.0,120792.0,123683.0,119621.0,115851.0,114713.0,117076.0,117344.0,114739.0,113338.0,119754.0,122730.0,123086.0,120503.0,121521.0,126084.0,128417.0,127225.0,125575.0,122971.0,120554.0,120705.0,123823.0,131849.0,132076.0,129511.0,126175.0,126534.0,125452.0,124628.0,123828.0,125624.0,127823.0,126730.0,129815.0,126584.0,127766.0,125448.0,129539.0,133166.0,132109.0,133844.0,134362.0,136066.0,135813.0,134755.0,135737.0,134310.0,133680.0,133122.0,131823.0,130605.0,131621.0,136118.0,142993.0,144900.0,144631.0
394439,137,"Canton, OH",msa,OH,136430.0,136676.0,137495.0,135549.0,138715.0,138911.0,140166.0,136215.0,134388.0,134366.0,136763.0,138927.0,137381.0,136262.0,135913.0,135167.0,139256.0,142488.0,146329.0,146154.0,142858.0,141676.0,142111.0,146044.0,150067.0,153552.0,152655.0,149861.0,149482.0,148588.0,147085.0,145225.0,149567.0,158024.0,157155.0,158034.0,156487.0,162344.0,163540.0,167815.0,167981.0,166974.0,165845.0,165100.0,161860.0,161309.0,161731.0,164184.0,163695.0,165273.0,169201.0,169203.0,169841.0,168316.0,167447.0,169487.0,176729.0,179524.0,178890.0,176641.0,178726.0
395070,138,"Savannah, GA",msa,GA,203394.0,205893.0,210358.0,208621.0,206376.0,203417.0,202256.0,203252.0,204250.0,210379.0,212013.0,218018.0,216056.0,217549.0,215171.0,216398.0,220750.0,226013.0,226248.0,223975.0,221313.0,217405.0,215450.0,216877.0,225764.0,238365.0,246884.0,252740.0,253160.0,253771.0,252621.0,254184.0,255226.0,257016.0,255731.0,260678.0,261596.0,265991.0,263997.0,272515.0,275533.0,277548.0,277254.0,279929.0,290111.0,299918.0,309121.0,307030.0,305670.0,305957.0,313851.0,313857.0,307647.0,305064.0,310802.0,320485.0,323561.0,326372.0,329198.0,331532.0,332135.0
394327,139,"Anchorage, AK",msa,AK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361969.0,361535.0
394372,140,"Beaumont, TX",msa,TX,149469.0,143733.0,143007.0,144282.0,155912.0,156125.0,161889.0,156635.0,161994.0,155891.0,159768.0,156971.0,161715.0,162267.0,170637.0,177954.0,177157.0,173695.0,161377.0,161698.0,152322.0,155487.0,153070.0,157218.0,156037.0,157799.0,167397.0,170214.0,179365.0,174970.0,173146.0,167939.0,171877.0,183567.0,186980.0,184225.0,177344.0,182646.0,184752.0,189575.0,191309.0,194953.0,197482.0,199009.0,197327.0,201817.0,195797.0,204392.0,207005.0,212325.0,209444.0,190237.0,182023.0,184011.0,193916.0,197621.0,195270.0,191481.0,185639.0,189601.0,181862.0
