"","borough","neighborhood","building_class_category","tax_class","block","lot","easement","building_class","address","apartment_number","zip_code","residential_units","commercial_units","total_units","land_sqft","gross_sqft","year_built","tax_class_at_sale","building_class_at_sale","sale_price","sale_date","year_of_sale","Borough","CD","CT2010","CB2010","SchoolDist","Council","ZipCode","FireComp","PolicePrct","HealthCent","HealthArea","SanitBoro","SanitDistr","SanitSub","Address","ZoneDist1","ZoneDist2","ZoneDist3","ZoneDist4","Overlay1","Overlay2","SPDist1","SPDist2","SPDist3","LtdHeight","SplitZone","BldgClass","LandUse","Easements","OwnerType","OwnerName","LotArea","BldgArea","ComArea","ResArea","OfficeArea","RetailArea","GarageArea","StrgeArea","FactryArea","OtherArea","AreaSource","NumBldgs","NumFloors","UnitsRes","UnitsTotal","LotFront","LotDepth","BldgFront","BldgDepth","Ext","ProxCode","IrrLotCode","LotType","BsmtCode","AssessLand","AssessTot","ExemptLand","ExemptTot","YearBuilt","YearAlter1","YearAlter2","HistDist","Landmark","BuiltFAR","ResidFAR","CommFAR","FacilFAR","BoroCode","BBL","CondoNo","Tract2010","XCoord","YCoord","ZoneMap","ZMCode","Sanborn","TaxMap","EDesigNum","APPBBL","APPDate","PLUTOMapID","FIRM07_FLA","PFIRM15_FL","Version","MAPPLUTO_F","SHAPE_Leng","SHAPE_Area"
"1722",3,"GREENPOINT","29  COMMERCIAL GARAGES","4",2608,50,"","E1","359-379 KINGSLAND AVENUE","",11222,0,3,3,74000,52000,1931,4,"G9",6666667,2010-04-19,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1723",3,"CANARSIE","32  HOSPITAL AND HEALTH FACILITIES","4",8203,74,"","I7","1210 EAST 96TH   STREET","",11236,0,1,1,7140,11700,1998,4,"I7",6655682,2015-01-22,2015,"BK",318,"966","2008","18",46,11236,"L170",69,33,7510,"3","18","2E","1210 EAST 96 STREET","R4-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","I7","08",0,NA,"FSNR ACQUISITION GROU",7140,11700,11700,0,0,0,0,0,0,11700,"2",2,2,0,1,84.17,85,0,0,NA,"0","Y","5","5",110700,1423800,0,0,1998,0,0,NA,NA,1.64,0.9,0,2,3,3082030074,0,"0966",1011918,173117,"23c",NA,"317 057","32405",NA,0,NA,"1",NA,NA,"17V1.1",0,340.383229211,7239.67115764
"1724",3,"WILLIAMSBURG-EAST","07  RENTALS - WALKUP APARTMENTS","2",2791,11,"","C1","14 MAUJER STREET","16",11206,16,0,16,3650,12994,1920,2,"C1",6650000,2013-08-07,2013,"BK",301,"513","2001","14",34,11206,"E216",90,30,700,"3","01","2A","14 MAUJER STREET","R6B",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","C1","02",0,"P","MAUJER ACQUISITION, L",3650,12994,0,12994,0,0,0,0,0,0,"2",1,4,16,16,36.5,100,36.5,89,NA,"3","N","5","2",131400,1111500,0,0,1920,0,0,NA,NA,3.56,2,0,2,3,3027910011,0,"0513",998029,197977,"13b",NA,"303 037","30906",NA,0,NA,"1",NA,NA,"17V1.1",0,280.467780943,3884.33177258
"1725",3,"BRIGHTON BEACH","29  COMMERCIAL GARAGES","",8676,18,"","","BRIGHTON 6 STREET","",11235,0,0,0,0,0,0,4,"G7",6650000,2007-04-26,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1726",3,"GRAVESEND","32  HOSPITAL AND HEALTH FACILITIES","4",6471,109,"","I6","2300 CROPSEY AVENUE","",11214,0,0,0,45688,85619,1931,4,"I6",6650000,2003-10-08,2003,"BK",311,"294","1003","21",43,11214,"L166",62,37,8620,"3","11","5D","2300 CROPSEY AVENUE","R6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","V0","11",0,"P","CROPSEY PARTNERS LLC",45688,0,0,0,0,0,0,0,0,0,"4",0,0,0,0,220.5,200.65,0,0,NA,"0","Y","5","5",272940,272940,0,0,0,0,0,NA,NA,0,2.43,0,4.8,3,3064710109,0,"0294",985052,156156,"28c",NA,"312 016","31908",NA,3064710109,"09/18/2000","1",NA,NA,"17V1.1",0,874.393537866,47558.2881855
"1727",3,"GREENPOINT","07  RENTALS - WALKUP APARTMENTS","",2833,30,"","","12 MONITOR STREET","",11222,0,0,0,0,0,0,2,"C1",6640858,2010-01-19,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1728",3,"FLATBUSH-EAST","07  RENTALS - WALKUP APARTMENTS","2",7808,36,"","C1","3728-3742 AVENUE K","",11210,58,0,58,9782,41596,1926,2,"C1",6630000,2014-02-24,2014,"BK",318,"736","3001","22",45,11210,"L159",63,35,8810,"3","18","6D","3728 AVENUE K","R5",NA,NA,NA,"C2-2",NA,NA,NA,NA,NA,"N","C1","02",0,"P","3728 AVENUE K PROPERT",9782,41596,0,41596,0,0,0,0,0,0,"2",1,4,58,58,134.5,73.42,89,127,NA,"0","Y","3","5",116100,1209150,0,0,1926,0,0,NA,NA,4.25,1.25,0,2,3,3078080036,0,"0736",1001254,167115,"23b",NA,"315 010","32308",NA,0,NA,"1",NA,NA,"17V1.1",0,530.787303149,17353.697973
"1729",3,"PARK SLOPE SOUTH","03 THREE FAMILY HOMES","1",1047,6,"","C0","549 4 AVENUE","",11215,3,0,3,1800,2700,1899,1,"C0",6625000,2016-06-30,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1730",3,"WILLIAMSBURG-SOUTH","13  CONDOS - ELEVATOR APARTMENTS","2",2135,1982,"","R4","429 KENT AVENUE","PH3",11249,1,0,1,0,0,2009,2,"R4",6608442,2016-09-22,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1731",3,"CROWN HEIGHTS","38  ASYLUMS AND HOMES","4",1362,50,"","N9","1465 PROSPECT PLACE","",11213,0,1,1,29201,50000,1900,4,"N9",6600000,2009-12-02,2009,"BK",308,"347","1002","17",36,11213,"L123",77,32,5020,"3","08","3A","1465 PROSPECT PLACE","R6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N9","08",0,"X","CONCERN ROCHESTER LLC",29201,50000,50000,0,0,0,0,0,0,50000,"2",1,4,0,1,137,255.58,94.58,113.58,NA,"1","Y","3","2",1129950,5591700,1129950,5591700,1900,2009,2009,NA,NA,1.71,2.43,0,4.8,3,3013620050,0,"0347",1004344,184680,"17a",NA,"307 026","30505",NA,3013620050,"12/04/2007","1",NA,NA,"17V1.1",0,794.502207705,29297.2243662
